Index,Ground energy
001,-2752.0
002,-2764.0
003,-2717.0
004,-2745.0
005,-2751.0
006,-2770.0
007,-2745.0
008,-2741.0
009,-2777.0
010,-2719.0
011,-2751.0
012,-2726.0
013,-2677.0
014,-2723.0
015,-2703.0
016,-2754.0
017,-2685.0
018,-2736.0
019,-2730.0
020,-2793.0
021,-2746.0
022,-2741.0
023,-2731.0
024,-2734.0
025,-2707.0
026,-2701.0
027,-2747.0
028,-2702.0
029,-2743.0
030,-2709.0
031,-2696.0
032,-2693.0
033,-2719.0
034,-2691.0
035,-2738.0
036,-2737.0
037,-2710.0
038,-2727.0
039,-2710.0
040,-2695.0
041,-2736.0
042,-2670.0
043,-2796.0
044,-2736.0
045,-2719.0
046,-2684.0
047,-2752.0
048,-2735.0
049,-2738.0
050,-2742.0
051,-2720.0
052,-2719.0
053,-2735.0
054,-2729.0
055,-2717.0
056,-2752.0
057,-2748.0
058,-2738.0
059,-2733.0
060,-2754.0
061,-2740.0
062,-2718.0
063,-2713.0
064,-2774.0
065,-2747.0
066,-2729.0
067,-2719.0
068,-2774.0
069,-2733.0
070,-2754.0
071,-2712.0
072,-2755.0
073,-2700.0
074,-2719.0
075,-2765.0
076,-2759.0
077,-2657.0
078,-2750.0
079,-2741.0
080,-2716.0
081,-2786.0
082,-2760.0
083,-2682.0
084,-2729.0
085,-2722.0
086,-2705.0
087,-2769.0
088,-2715.0
089,-2741.0
090,-2756.0
091,-2761.0
092,-2703.0
093,-2717.0
094,-2783.0
095,-2751.0
096,-2721.0
097,-2735.0
098,-2751.0
099,-2775.0
100,-2764.0
